Date,Anabaena,Microcystis 
08-Jan-92 ,85 ,425 
22-Jan-92 ,46 ,110 
05-Feb-92 ,117 ,563 
19-Feb-92 ,0,616 
03-Mar-92 ,10 ,880 
17-Mar-92 ,0 ,687 
31-Mar-92 ,0 ,1131 
14-Apr-92 ,0 ,2265 
12-May-92 ,0 ,2220 
10-Jun-92 ,0 ,5300 
07-Jul-92 ,0 ,6200 
04-Aug-92 ,0 ,4700 
01-Sep-92 ,0 ,6960 
10-Sep-92 ,15,6780 
14-Sep-92 ,0,6650 
21-Sep-92 ,0,6600 
29-Sep-92 ,18 ,6620 
06-Oct-92 ,0,6000 
13-Oct-92 ,0 ,8125 
19-Oct-92 ,0,8630 
27-Oct-92 ,0 ,2715 
02-Nov-92 ,0,2350 
10-Nov-92 ,0 ,1290  
16-Nov-92 ,0,3248 
27-Nov-92 ,0,2925 
30-Nov-92 ,33,1750 
08-Dec-92 ,0 ,2072  
14-Dec-92 ,0,772 
22-Dec-92 ,10 ,1625  
29-Dec-92 ,0,546 
04-Jan-93 ,0 ,780  
07-Jan-93 ,0 ,442  
13-Jan-93 ,0 ,570  
20-Jan-93 ,0 ,355  
28-Jan-93 ,0 ,215  
03-Feb-93 ,0 ,110  
10-Feb-93 ,0 ,130  
17-Feb-93 ,0 ,268  
24-Feb-93 ,0 ,166  
01-Mar-93 ,21 ,162  
08-Mar-93 ,32 ,350  
15-Mar-93 ,1 ,148  
22-Mar-93 ,28 ,100  
29-Mar-93 ,1 ,28  
05-Apr-93 ,0 ,1  
27-Apr-93 ,1 ,1  
03-May-93 ,0 ,133  
10-May-93 ,0 ,100  
17-May-93 ,0 ,165  
24-May-93 ,0 ,115  
31-May-93 ,29 ,1  
07-Jun-93 ,0 ,8  
15-Jun-93 ,0 ,640  
21-Jun-93 ,20 ,74  
28-Jun-93 ,15 ,84  
05-Jul-93 ,0 ,130  
12-Jul-93 ,0 ,64  
19-Jul-93 ,0 ,92  
26-Jul-93 ,1,1 
03-Aug-93 ,0 ,320  
09-Aug-93 ,0 ,68  
16-Aug-93 ,0 ,1  
23-Aug-93 ,0 ,1  
30-Aug-93 ,1 ,1  
06-Sep-93 ,1 ,1  
13-Sep-93 ,0 ,0  
20-Sep-93 ,0 ,0  
28-Sep-93 ,0 ,0  
05-Oct-93 ,0 ,0  
11-Oct-93 ,0 ,0  
18-Oct-93 ,0 ,0  
25-Oct-93 ,0 ,0  
01-Nov-93 ,0 ,0  
08-Nov-93 ,0 ,0  
15-Nov-93 ,0 ,0  
24-Nov-93 ,0 ,0  
29-Nov-93 ,0 ,0  
08-Dec-93 ,0 ,0  
15-Dec-93 ,0 ,0  
20-Dec-93 ,0 ,0  
29-Dec-93 ,0 ,0  
04-Jan-94 ,0 ,1  
11-Jan-94 ,0 ,1  
17-Jan-94 ,0 ,1  
24-Jan-94 ,0 ,1  
31-Jan-94 ,0,150 
07-Feb-94 ,0,1 
14-Feb-94 ,1,1 
21-Feb-94 ,130,1 
28-Feb-94 ,55,1 
15-Mar-94 ,105 ,1 
21-Mar-94 ,22,1 
05-Apr-94 ,7,1 
11-Apr-94 ,1,1 
18-Apr-94 ,28,1 
26-Apr-94 ,1 ,1  
03-May-94 ,30 ,0  
10-May-94 ,0 ,0  
16-May-94 ,0 ,120  
25-May-94 ,0 ,1  
30-May-94 ,0 ,1  
06-Jun-94 ,1 ,1 
27-Jun-94 ,1 ,1 
04-Jul-94 ,1 ,1 
11-Jul-94 ,0 ,1 
19-Jul-94 ,0 ,1 
27-Jul-94 ,1 ,1 
02-Aug-94 ,0 ,1 
09-Aug-94 ,0 ,1 
15-Aug-94 ,0 ,1 
23-Aug-94 ,0 ,1 
30-Aug-94 ,1 ,1 
06-Sep-94 ,0 ,1 
13-Sep-94 ,0 ,1 
20-Sep-94 ,0 ,1  
26-Sep-94 ,0 ,1  
04-Oct-94 ,0 ,1  
11-Oct-94 ,0 ,1  
18-Oct-94 ,0 ,1  
25-Oct-94 ,1 ,1  
01-Nov-94 ,16 ,1  
15-Nov-94 ,0 ,1  
29-Nov-94 ,1 ,0  
06-Dec-94 ,1 ,0 
13-Dec-94 ,0 ,1 
19-Dec-94 ,0 ,1  
04-Jan-95 ,1 ,1  
10-Jan-95 ,0 ,254  
16-Jan-95 ,460 ,1 
19-Jan-95 ,725 ,450 
20-Jan-95 ,580 ,500 
24-Jan-95 ,850 ,790 
25-Jan-95 ,560 ,180 
27-Jan-95 ,230 ,330 
01-Feb-95 ,370 ,800 
03-Feb-95 ,50 ,140 
06-Feb-95 ,170 ,450 
07-Feb-95 ,90 ,850 
09-Feb-95 ,160 ,340 
10-Feb-95 ,370 ,830 
13-Feb-95 ,70 ,490 
14-Feb-95 ,90 ,1190 
17-Feb-95 ,30 ,1360 
20-Feb-95 ,40 ,730 
21-Feb-95 ,220 ,1040 
24-Feb-95 ,40 ,350 
27-Feb-95 ,40 ,240 
28-Feb-95 ,40 ,410 
06-Mar-95 ,50 ,230 
07-Mar-95 ,20 ,550 
10-Mar-95 ,40 ,490 
13-Mar-95 ,1 ,670 
16-Mar-95 ,1 ,360 
20-Mar-95 ,30 ,1 
28-Mar-95 ,14 ,1130 
04-Apr-95 ,80 ,500 
11-Apr-95 ,28 ,530 
13-Apr-95 ,40 ,900 
18-Apr-95 ,1 ,860 
20-Apr-95 ,15 ,580 
24-Apr-95 ,27 ,400 
26-Apr-95 ,30 ,1580 
01-May-95 ,1 ,500 
02-May-95 ,90 ,380 
08-May-95 ,55 ,450 
12-May-95 ,70 ,220 
16-May-95 ,30 ,480 
19-May-95 ,1 ,270 
22-May-95 ,80 ,460 
30-May-95 ,95 ,210 
02-Jun-95 ,1 ,110 
06-Jun-95 ,70 ,430 
07-Jun-95 ,1 ,750 
13-Jun-95 ,130 ,25 
16-Jun-95 ,105 ,60 
20-Jun-95 ,1 ,280 
23-Jun-95 ,60 ,125 
27-Jun-95 ,120 ,1 
04-Jul-95 ,50 ,210 
07-Jul-95 ,85,90  
20-Jul-95 ,150,1  
25-Jul-95 ,110,150  
08-Aug-95 ,30,1  
17-Aug-95 ,1 ,1 
22-Aug-95 ,55 ,1 
29-Aug-95 ,20 ,190 
05-Sep-95 ,60 ,1 
