Time,AnaR2,AnaR6,AnaR12,test,Ther_TG_1.0_8.0,UTSR6_TG_0.5_7.0,UTSR6_TG_0.5_7.5,UTSR12_TG_0.5_8.5,UTSR12_TG_0.5_9.0,UTSR2_TG_0.5_4.5,UTSR2_TG_0.5_5.0,XYLR6_TG_1.0_7.0,XYLR6_TG_2.0_7.0,XYLR9_TG_0.5_10.0,XYLR2_TG_0.5_10.0
19/05/2009,0.00000,0.00000,0.00,,0.018571429,,,,,,,,,,
20/05/2009,,,,,0.003035714,,,,,,,,,,
21/05/2009,,,,,0.002142857,,,,,,,,,,
22/05/2009,,,,,-0.00047619,,,,,,,,,,
23/05/2009,,,,,0.000119048,,,,,,,,,,
24/05/2009,,,,,-0.000357143,,,,,,,,,,
25/05/2009,,,,,-0.003988095,,,,,,,,,,
26/05/2009,0.00000,0.00000,0.00,,-0.001071429,,,,,,,,,,
27/05/2009,,,,,-0.00422619,,,,,,,,,,
28/05/2009,,,,,-0.010833333,,,,,,,,,,
29/05/2009,,,,,-0.019404762,,,,,,,,,,
30/05/2009,,,,,-0.016369048,,,,,,,,,,
31/05/2009,,,,,-0.004047619,,,,,,,,,,
1/06/2009,,,,,-0.005535714,,,,,,,,,,
2/06/2009,0.00000,0.00000,0.00,,0.003869048,,,,,,,,,,
3/06/2009,,,,,0.015714286,,,,,,,,,,
4/06/2009,,,,,0.003690476,,,,,,,,,,
5/06/2009,,,,,-0.01547619,,,,,,,,,,
6/06/2009,,,,,-0.014702381,,,,,,,,,,
7/06/2009,,,,,-0.013214286,,,,,,,,,,
8/06/2009,,,,,-0.013988095,,,,,,,,,,
9/06/2009,0.00000,0.00000,0.00,,-0.012857143,,,,,,,,,,
10/06/2009,,,,,-0.011190476,,,,,,,,,,
11/06/2009,,,,,-0.013928571,,,,,,,,,,
12/06/2009,,,,,-0.017321429,,,,,,,,,,
13/06/2009,,,,,-0.020535714,,,,,,,,,,
14/06/2009,,,,,-0.008333333,,,,,,,,,,
15/06/2009,,,,,-0.008630952,,,,,,,,,,
16/06/2009,0.00000,0.00000,0.00,,-0.021011905,,,,,,,,,,
17/06/2009,,,,,-0.009345238,,,,,,,,,,
18/06/2009,,,,,-0.009821429,,,,,,,,,,
19/06/2009,,,,,-0.00875,,,,,,,,,,
20/06/2009,,,,,-0.014166667,,,,,,,,,,
21/06/2009,,,,,0.011011905,,,,,,,,,,
22/06/2009,,,,,0.057440476,,,,,,,,,,
23/06/2009,0.00000,0.00000,0.00,,0.020059524,,,,,,,,,,
24/06/2009,,,,,-0.002380952,,,,,,,,,,
25/06/2009,,,,,-0.017559524,,,,,,,,,,
26/06/2009,,,,,-0.0025,,,,,,,,,,
27/06/2009,,,,,-0.011190476,,,,,,,,,,
28/06/2009,,,,,-0.019821429,,,,,,,,,,
29/06/2009,,,,,-0.017738095,,,,,,,,,,
30/06/2009,0.00000,0.00000,0.00,,-0.009940476,,,,,,,,,,
1/07/2009,,,,,-0.016547619,,,,,,,,,,
2/07/2009,,,,,-0.016011905,,,,,,,,,,
3/07/2009,,,,,-0.013571429,,,,,,,,,,
4/07/2009,,,,,-0.01702381,,,,,,,,,,
5/07/2009,,,,,-0.017083333,,,,,,,,,,
6/07/2009,,,,,-0.01047619,,,,,,,,,,
7/07/2009,0.00000,0.00000,0.00,,-0.013333333,,,,,,,,,,
8/07/2009,,,,,0.004642857,,,,,,,,,,
9/07/2009,,,,,0.001011905,,,,,,,,,,
10/07/2009,,,,,-0.003035714,,,,,,,,,,
11/07/2009,,,,,-0.003690476,,,,,,,,,,
12/07/2009,,,,,-0.006071429,,,,,,,,,,
13/07/2009,,,,,-0.015952381,,,,,,,,,,
14/07/2009,0.00000,0.00000,0.00,,-0.015059524,,,,,,,,,,
15/07/2009,,,,,-0.011190476,,,,,,,,,,
16/07/2009,,,,,-0.015892857,,,,,,,,,,
17/07/2009,,,,,-0.01297619,,,,,,,,,,
18/07/2009,,,,,-0.004642857,,,,,,,,,,
19/07/2009,,,,,-0.01375,,,,,,,,,,
20/07/2009,,,,,0.005833333,,,,,,,,,,
21/07/2009,0.00000,0.00000,0.00,,0.06952381,,,,,,,,,,
22/07/2009,,,,,0.067738095,,,,,,,,,,
23/07/2009,,,,,-0.014642857,,,,,,,,,,
24/07/2009,,,,,-0.002083333,,,,,,,,,,
25/07/2009,,,,,0.002083333,,,,,,,,,,
26/07/2009,,,,,0.00922619,,,,,,,,,,
27/07/2009,,,,,-0.013690476,,,,,,,,,,
28/07/2009,0.00000,0.00000,0.00,,-0.013690476,,,,,,,,,,
29/07/2009,,,,,0.001547619,,,,,,,,,,
30/07/2009,,,,,-0.010059524,,,,,,,,,,
31/07/2009,,,,,-0.01327381,,,,,,,,,,
1/08/2009,,,,,-0.007142857,,,,,,,,,,
2/08/2009,,,,,0.00827381,,,,,,,,,,
3/08/2009,,,,,-0.013511905,,,,,,,,,,
4/08/2009,0.00000,0.00000,0.00,,0.001666667,,,,,,,,,,
5/08/2009,,,,,0.004583333,,,,,,,,,,
6/08/2009,,,,,0.024583333,,,,,,,,,,
7/08/2009,,,,,0.03547619,,,,,,,,,,
8/08/2009,,,,,0.014702381,,,,,,,,,,
9/08/2009,,,,,0.006130952,,,,,,,,,,
10/08/2009,,,,,0.03672619,,,,,,,,,,
11/08/2009,0.00000,0.00000,0.00,,0.035535714,,,,,,,,,,
12/08/2009,,,,,0.013035714,,,,,,,,,,
13/08/2009,,,,,-0.001071429,,,,,,,,,,
14/08/2009,,,,,0.01375,,,,,,,,,,
15/08/2009,,,,,0.006071429,,,,,,,,,,
16/08/2009,,,,,0.08172619,,,,,,,,,,
17/08/2009,,,,,0.251904762,,,,,,,,,,
18/08/2009,0.00000,0.00000,0.00,,0.119404762,,,,,,,,,,
19/08/2009,,,,,0.105714286,,,,,,,,,,
20/08/2009,,,,,0.077916667,,,,,,,,,,
21/08/2009,,,,,0.198630952,,,,,,,,,,
22/08/2009,,,,,0.115595238,,,,,,,,,,
23/08/2009,,,,,0.09077381,,,,,,,,,,
24/08/2009,,,,,0.17797619,,,,,,,,,,
25/08/2009,0.00000,0.00000,0.00,,0.00375,,,,,,,,,,
26/08/2009,,,,,-0.006011905,,,,,,,,,,
27/08/2009,,,,,0.024761905,,,,,,,,,,
28/08/2009,,,,,0.029761905,,,,,,,,,,
29/08/2009,,,,,0.064464286,,,,,,,,,,
30/08/2009,,,,,-0.000416667,,,,,,,,,,
31/08/2009,,,,,-0.007797619,,,,,,,,,,
1/09/2009,0.00000,0.00000,0.00,,0.030357143,,,,,,,,,,
2/09/2009,,,,,0.043809524,,,,,,,,,,
3/09/2009,,,,,0.072440476,,,,,,,,,,
4/09/2009,,,,,0.075357143,,,,,,,,,,
5/09/2009,,,,,0.089583333,,,,,,,,,,
6/09/2009,,,,,0.072083333,,,,,,,,,,
7/09/2009,,,,,0.018511905,,,,,,,,,,
8/09/2009,0.00000,0.00000,0.00,,0.016607143,,,,,,,,,,
9/09/2009,,,,,0.002738095,,,,,,,,,,
10/09/2009,,,,,0.005714286,,,,,,,,,,
11/09/2009,,,,,0.031011905,,,,,,,,,,
12/09/2009,,,,,0.039285714,,,,,,,,,,
13/09/2009,,,,,0.09297619,,,,,,,,,,
14/09/2009,,,,,0.073809524,,,,,,,,,,
15/09/2009,0.00000,0.00000,0.00,,0.137619048,,,,,,,,,,
16/09/2009,,,,,0.201071429,,,,,,,,,,
17/09/2009,,,,,0.237559524,,,,,,,,,,
18/09/2009,,,,,0.2,,,,,,,,,,
19/09/2009,,,,,0.230714286,,,,,,,,,,
20/09/2009,,,,,0.239642857,,,,,,,,,,
21/09/2009,,,,,0.246666667,,,,,,,,,,
22/09/2009,0.00000,0.00000,0.00,,0.185,,,,,,,,,,
23/09/2009,,,,,0.037619048,,,,,,,,,,
24/09/2009,,,,,0.022083333,,,,,,,,,,
25/09/2009,,,,,0.050654762,,,,,,,,,,
26/09/2009,,,,,0.01952381,,,,,,,,,,
27/09/2009,,,,,0.023333333,,,,,,,,,,
28/09/2009,,,,,0.0275,,,,,,,,,,
29/09/2009,0.00000,0.00000,0.00,,0.055238095,,,,,,,,,,
30/09/2009,,,0.00,,0.072738095,,,,,,,,,,
1/10/2009,,,,,0.111071429,,,,,,,,,,
2/10/2009,,,,,0.139702381,,,,,,,,,,
3/10/2009,,,,,0.112202381,,,,,,,,,,
4/10/2009,,,,,0.076190476,,,,,,,,,,
5/10/2009,,,,,0.090238095,,,,,,,,,,
6/10/2009,0.00000,0.00000,0.00,,0.073095238,,,,,,,,,,
7/10/2009,,,,,0.047440476,,,,,,,,,,
8/10/2009,,,,,0.041369048,,,,,,,,,,
9/10/2009,,,,,0.053214286,,,,,,,,,,
10/10/2009,,,,,0.078928571,,,,,,,,,,
11/10/2009,,,,,0.08077381,,,,,,,,,,
12/10/2009,,,,,0.122619048,,,,,,,,,,
13/10/2009,0.00000,0.00000,0.00,,0.062619048,,,,,,,,,,
14/10/2009,,,,,0.055892857,,,,,,,,,,
15/10/2009,,,,,0.053988095,,,,,,,,,,
16/10/2009,,,,,0.058214286,,,,,,,,,,
17/10/2009,,,,,0.089345238,,,,,,,,,,
18/10/2009,,,,,0.125238095,,,,,,,,,,
19/10/2009,,,,,0.173392857,,,,,,,,,,
20/10/2009,0.00000,0.00000,0.00,,0.297797619,,,,,,,,,,
21/10/2009,,,,,0.266071429,,,,,,,,,,
22/10/2009,,,,,0.261964286,,,,,,,,,,
23/10/2009,,,,,0.374642857,,,,,,,,,,
24/10/2009,,,,,0.379583333,,,,,,,,,,
25/10/2009,,,,,0.37547619,,,,,,,,,,
26/10/2009,,,,,0.190178571,,,,,,,,,,
27/10/2009,20.00000,0.00000,0.00,,0.071190476,,,,,,,,,,
28/10/2009,,,,,0.17452381,,,,,,,,,,
29/10/2009,,,,,0.266845238,,,,,,,,,,
30/10/2009,,,,,0.334464286,,,,,,,,,,
31/10/2009,,,,,0.409642857,,,,,,,,,,
1/11/2009,,,,,0.525595238,,,,,,,,,,
2/11/2009,,,,,0.527857143,,,,,,,,,,
3/11/2009,0.00000,0.00000,0.00,,0.377797619,,,,,,,,,,
4/11/2009,,,,,0.361845238,,,,,,,,,,
5/11/2009,,,,,0.347797619,,,,,,,,,,
6/11/2009,,,,,0.248988095,,,,,,,,,,
7/11/2009,,,,,0.188154762,,,,,,,,,,
8/11/2009,,,,,0.12077381,,,,,,,,,,
9/11/2009,,,,,0.185654762,,,,,,,,,,
10/11/2009,0.00000,0.00000,0.00,,0.19702381,,,,,,,,,,
11/11/2009,,,,,0.284821429,,,,,,,,,,
12/11/2009,,,,,0.358928571,,,,,,,,,,
13/11/2009,,,,,0.328690476,,,,,,,,,,
14/11/2009,,,,,0.291607143,,,,,,,,,,
15/11/2009,,,,,0.332738095,,,,,,,,,,
16/11/2009,,,,,0.482619048,,,,,,,,,,
17/11/2009,0.00000,0.00000,0.00,,0.438690476,,,,,,,,,,
