Date,ChlA,DO,Temp,DIN,SRP,Turbidity
07-Jan-85,1.30,,,,,
21-Jan-85,1.99,,,,,
06-Feb-85,1.29,,,,,
18-Feb-85,3.44,,,,,
04-Mar-85,3.14,,,,,
20-Mar-85,1.43,,,,,
03-Apr-85,,,,,,
17-Apr-85,2.72,,,,,
30-Apr-85,1.27,,,,,
22-May-85,4.45,,,,,
29-May-85,4.89,,,,,
12-Jun-85,6.04,,,,,
26-Jun-85,,,,,,
24-Jul-85,,,,,,
14-Aug-85,2.18,,,,,
21-Aug-85,1.80,,,,,
04-Sep-85,2.94,,,,,
18-Sep-85,,,,,,
02-Oct-85,2.74,,,,,
16-Oct-85,,,,,,
30-Oct-85,,,,,,
13-Nov-85,,,,,,
27-Nov-85,2.40,,,,,
18-Dec-85,5.78,,,,,
08-Jan-86,9.05,,,,,
22-Jan-86,,,,,,
05-Feb-86,3.56,,,,,
19-Feb-86,6.00,,,,,
12-Mar-86,5.50,,,,,
26-Mar-86,,,,,,
09-Apr-86,6.55,,,,,
07-May-86,3.68,,,,,
28-May-86,6.09,,,,,
25-Jun-86,10.56,,,,,
23-Jul-86,,,,,,
20-Aug-86,,,,,,
15-Oct-86,,,,,,
12-Nov-86,6.48,,,,,
11-Dec-86,5.67,,,,,
07-Jan-87,5.51,,,,,
04-Feb-87,9.12,,,,,
29-Apr-87,6.36,,,,,
27-May-87,10.02,,,,,
24-Jun-87,14.31,,,,,
15-Jul-87,10.96,,,,,
19-Aug-87,8.09,,,,,
16-Sep-87,18.06,,,,,
30-Sep-87,7.03,,,,,
14-Oct-87,8.46,,,,,
28-Oct-87,6.88,,,,,
11-Nov-87,2.88,,,,,
25-Nov-87,4.40,,,,,
09-Dec-87,8.36,,,,,
22-Dec-87,4.86,,,,,2.0
13-Jan-88,4.66,,,,,2.0
03-Feb-88,9.80,,24.0,,,1.4
10-Feb-88,11.25,,23.0,,,1.4
24-Feb-88,6.21,,,,,1.2
09-Mar-88,10.15,,22.0,,,1.3
23-Mar-88,9.06,,23.0,,,1.6
06-Apr-88,7.42,,23.0,,,1.4
20-Apr-88,10.51,,19.0,,,2.2
04-May-88,5.12,,23.0,,,3.0
18-May-88,6.42,,17.5,,,3.1
15-Jun-88,3.98,,13.0,,,3.0
13-Jul-88,7.23,,13.0,,,2.5
17-Aug-88,9.33,,14.0,,,2.5
07-Sep-88,10.10,,16.0,,,2.6
05-Oct-88,4.90,,21.0,,,2.3
19-Oct-88,6.40,,19.0,,,1.5
02-Nov-88,4.92,,22.0,,,1.4
30-Nov-88,,,22.0,,,1.7
14-Dec-88,6.16,,22.0,,,1.7
11-Jan-89,7.51,,25.5,,,1.3
01-Feb-89,5.24,,23.0,,,1.1
08-Feb-89,9.34,,22.0,,,1.2
22-Feb-89,6.37,,24.0,,,1.7
09-Mar-89,5.14,,23.0,,,1.2
30-Mar-89,7.17,,21.0,,,1.0
05-Apr-89,11.79,,21.0,,,2.0
19-Apr-89,8.17,,20.0,,,1.9
